beitrag_id,plattform,kategorie,beitragstext,bildbeschreibung,sentiment,hashtags,autor_typ,verlinkte_themen
327,TikTok,Bildung,Heute gab es ein Konzert in kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,negativ,#bildungfüralle #uni,Privatperson,"Technologie, Wirtschaft"
328,Facebook,Sport,So sieht einen Workshop zu Jugendpolitik.,Kind mit Buch auf einer Wiese,negativ,#klettern #fussball #radfahren,Unternehmen,"Technologie, Politik"
329,Facebook,Bildung,So sieht eine Demo für Bildung.,Publikum mit bunten Lichtern,positiv,#wissen #lernen,Unternehmen,"Politik, Sport"
330,TikTok,Politik,Ich war gestern bei einen Workshop zu kulturelle Vielfalt.,Schüler in einem Klassenzimmer mit Tablets,positiv,#klimapolitik #gerechtigkeit,Unternehmen,"Politik, Essen"
331,Instagram,Wirtschaft,Endlich wieder einen Vortrag über gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#fitness #bildungfüralle #ki,Partei,"Politik, Klima"
332,TikTok,Sport,Viele Menschen demonstrieren für ein Treffen mit faire Löhne.,Familie auf dem Markt mit Einkaufstaschen,negativ,#skaten #fitness,NGO,"Politik, Essen"
333,Instagram,Reisen,Ein Erlebnis in einen Workshop zu gesunde Ernährung.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#citytrip #abenteuer,NGO,"Politik, Technologie"
334,Facebook,Klima,Viele Menschen demonstrieren für eine Wanderung durch Klimaschutz.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#robotik #chor #uni,NGO,"Essen, Bildung"
335,TikTok,Technologie,Ich war gestern bei ein Konzert in digitale Teilhabe.,Kind mit Buch auf einer Wiese,neutral,#digitalisierung #innovation,Unternehmen,"Musik, Klima"
336,TikTok,Technologie,Heute gab es eine Diskussion zu soziale Gerechtigkeit.,Familie auf dem Markt mit Einkaufstaschen,positiv,#startups #robotik #digitalisierung #innovation,Privatperson,"Bildung, Musik"
337,Facebook,Sport,Ein Erlebnis in einen Vortrag über Jugendpolitik.,Publikum mit bunten Lichtern,positiv,#klettern #skaten #radfahren #fussball,Privatperson,"Politik, Bildung"
338,Instagram,Klima,Gemeinsam für einen Vortrag über Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,negativ,#klettern #bildungfüralle #roadtrip,Partei,"Sport, Essen"
339,TikTok,Technologie,Ich war gestern bei eine Demo für gesunde Ernährung.,Menschen mit Schildern vor dem Rathaus,neutral,#ki #startups #blockchain #digitalisierung,NGO,"Politik, Bildung"
340,Instagram,Essen,Viele Menschen demonstrieren für ein Treffen mit faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,negativ,#engagement #beats #gerechtigkeit,Influencer,"Sport, Bildung"
341,Instagram,Politik,Wir brauchen dringend ein Konzert in Klimaschutz.,eine Bühne mit Rednerin im Rampenlicht,positiv,#klimapolitik #gerechtigkeit,Privatperson,"Sport, Klima"
342,Instagram,Klima,Viele Menschen demonstrieren für eine Wanderung durch digitale Teilhabe.,Publikum mit bunten Lichtern,negativ,#skaten #robotik #ki,Influencer,"Bildung, Sport"
343,TikTok,Technologie,Wir brauchen dringend eine Aktion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#startups #robotik,Privatperson,"Essen, Politik"
344,Instagram,Reisen,Ein Erlebnis in eine Diskussion zu kulturelle Vielfalt.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#meerliebe #wanderlust,NGO,"Sport, Essen"
345,TikTok,Bildung,Gemeinsam für einen Workshop zu gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,negativ,#wissen #schule #bildungfüralle #uni,Privatperson,"Klima, Essen"
346,TikTok,Bildung,Gemeinsam für eine Demo für Jugendpolitik.,Zelt mit Transparenten im Stadtpark,negativ,#lernen #wissen #bildungfüralle,Influencer,"Klima, Sport"
347,Instagram,Essen,Gemeinsam für eine Wanderung durch Bildung.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#robotik #wanderlust #meerliebe,Privatperson,"Klima, Essen"
348,Instagram,Reisen,Endlich wieder eine Diskussion zu Klimaschutz.,Kind mit Buch auf einer Wiese,negativ,#abenteuer #roadtrip,Influencer,"Politik, Technologie"
349,TikTok,Sport,Heute gab es eine Demo für mehr Fahrradwege.,Publikum mit bunten Lichtern,positiv,#fitness #skaten #klettern #radfahren,Unternehmen,"Wirtschaft, Musik"
350,Facebook,Essen,Wir brauchen dringend ein Konzert in gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#startups #radfahren #klimapolitik,NGO,"Bildung, Reisen"
351,Facebook,Musik,Heute gab es ein Treffen mit Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,neutral,#chor #beats,NGO,"Essen, Wirtschaft"
352,Instagram,Reisen,Viele Menschen demonstrieren für einen Workshop zu Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,positiv,#abenteuer #citytrip #meerliebe #wanderlust,Influencer,"Musik, Sport"
353,Facebook,Klima,Ich war gestern bei eine Demo für faire Löhne.,Familie auf dem Markt mit Einkaufstaschen,negativ,#vortrag #startups #chor,Partei,"Technologie, Reisen"
354,Facebook,Reisen,Ein Erlebnis in ein Treffen mit gesunde Ernährung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#abenteuer #meerliebe,Partei,"Musik, Klima"
355,Instagram,Klima,Ich war gestern bei ein Konzert in faire Löhne.,Zelt mit Transparenten im Stadtpark,neutral,#bildungfüralle #beats #demokratie,Privatperson,"Technologie, Essen"
356,Instagram,Sport,Viele Menschen demonstrieren für eine Wanderung durch mehr Fahrradwege.,Kind mit Buch auf einer Wiese,positiv,#basketball #klettern #fussball,Partei,"Essen, Musik"
357,TikTok,Musik,Heute gab es eine Wanderung durch Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,neutral,#chor #vinyl,NGO,"Essen, Politik"
358,Instagram,Technologie,Wir brauchen dringend eine Diskussion zu mehr Fahrradwege.,Menschen mit Schildern vor dem Rathaus,positiv,#ki #robotik,Partei,"Sport, Wirtschaft"
359,Instagram,Musik,Viele Menschen demonstrieren für eine Wanderung durch Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#bandlife #chor,Influencer,"Technologie, Klima"
360,Facebook,Musik,Viele Menschen demonstrieren für einen Workshop zu faire Löhne.,Zelt mit Transparenten im Stadtpark,positiv,#beats #konzert #musikliebe,Privatperson,"Essen, Bildung"
361,TikTok,Essen,Ein Erlebnis in einen Workshop zu kulturelle Vielfalt.,eine Bühne mit Rednerin im Rampenlicht,neutral,#engagement #ki #wanderlust,Privatperson,"Technologie, Musik"
362,Instagram,Sport,So sieht ein Konzert in Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,positiv,#klettern #fitness #fussball #basketball,Partei,"Politik, Musik"
363,TikTok,Technologie,Endlich wieder ein Treffen mit gesunde Ernährung.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#startups #blockchain #digitalisierung #robotik,Partei,"Politik, Klima"
364,TikTok,Essen,Gemeinsam für ein Konzert in Demokratie.,Kind mit Buch auf einer Wiese,negativ,#marathon #citytrip #ki,Influencer,"Sport, Reisen"
365,Facebook,Essen,Gemeinsam für ein Konzert in digitale Teilhabe.,Menschen mit Schildern vor dem Rathaus,negativ,#citytrip #engagement #bergliebe,Partei,"Reisen, Politik"
366,Facebook,Politik,So sieht einen Workshop zu Jugendpolitik.,Publikum mit bunten Lichtern,positiv,#gerechtigkeit #wahlen,Unternehmen,"Sport, Musik"
367,TikTok,Musik,Gemeinsam für eine Aktion zu soziale Gerechtigkeit.,Publikum mit bunten Lichtern,neutral,#jamsession #beats #konzert,Unternehmen,"Essen, Technologie"
368,TikTok,Musik,Ich war gestern bei eine Wanderung durch Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#bandlife #beats #jamsession #chor,Privatperson,"Reisen, Politik"
369,Instagram,Klima,Heute gab es ein Konzert in gesunde Ernährung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#startups #ki #engagement,Partei,"Technologie, Sport"
370,Instagram,Sport,So sieht ein Konzert in faire Löhne.,Menschen mit Schildern vor dem Rathaus,neutral,#basketball #marathon #klettern,NGO,"Technologie, Sport"
371,Facebook,Essen,Ein Erlebnis in eine Diskussion zu Bildung.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#bildungfüralle #vinyl #jamsession,Privatperson,"Reisen, Essen"
372,TikTok,Politik,Heute gab es eine Demo für gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,negativ,#wahlen #gerechtigkeit,Partei,"Technologie, Klima"
373,Instagram,Klima,Ein Erlebnis in einen Workshop zu soziale Gerechtigkeit.,Menschen mit Schildern vor dem Rathaus,negativ,#fitness #musikliebe #startups,Influencer,"Reisen, Sport"
374,Facebook,Wirtschaft,Viele Menschen demonstrieren für ein Treffen mit Bildung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#bildungfüralle #radfahren #klimapolitik,Unternehmen,"Reisen, Essen"
375,TikTok,Essen,Endlich wieder einen Vortrag über gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,neutral,#vinyl #chor #innovation,Partei,"Reisen, Politik"
376,Instagram,Musik,Gemeinsam für ein Konzert in soziale Gerechtigkeit.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#bandlife #beats,Influencer,"Reisen, Politik"
377,TikTok,Politik,Ich war gestern bei eine Wanderung durch Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,positiv,#klimapolitik #wahlen #demokratie #engagement,Unternehmen,"Politik, Technologie"
378,TikTok,Politik,Ein Erlebnis in ein Treffen mit faire Löhne.,Zelt mit Transparenten im Stadtpark,neutral,#demokratie #meinemeinung #engagement #klimapolitik,Influencer,"Technologie, Reisen"
379,Facebook,Technologie,Endlich wieder ein Treffen mit Klimaschutz.,Schüler in einem Klassenzimmer mit Tablets,positiv,#blockchain #startups,Partei,"Wirtschaft, Reisen"
380,TikTok,Sport,Ein Erlebnis in eine Aktion zu gesunde Ernährung.,Kind mit Buch auf einer Wiese,neutral,#marathon #fussball #klettern,Unternehmen,"Musik, Essen"
381,Instagram,Sport,Viele Menschen demonstrieren für eine Demo für Jugendpolitik.,Zelt mit Transparenten im Stadtpark,neutral,#radfahren #basketball #marathon #skaten,Privatperson,"Sport, Klima"
382,Facebook,Sport,So sieht eine Demo für faire Löhne.,Menschen mit Schildern vor dem Rathaus,positiv,#fussball #radfahren #fitness #klettern,Privatperson,"Klima, Sport"
383,Instagram,Essen,So sieht einen Vortrag über mehr Fahrradwege.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#fussball #musikliebe #vinyl,Partei,"Bildung, Reisen"
384,TikTok,Essen,So sieht ein Treffen mit Jugendpolitik.,Kind mit Buch auf einer Wiese,neutral,#marathon #klettern #lernen,Unternehmen,"Wirtschaft, Reisen"
385,Facebook,Musik,Wir brauchen dringend einen Workshop zu kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,negativ,#bandlife #jamsession #chor,NGO,"Technologie, Politik"
386,Facebook,Sport,Ein Erlebnis in einen Workshop zu Klimaschutz.,Publikum mit bunten Lichtern,neutral,#fussball #skaten,Unternehmen,"Essen, Reisen"
387,Facebook,Essen,Gemeinsam für einen Vortrag über digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#blockchain #roadtrip #schule,Partei,"Technologie, Wirtschaft"
388,TikTok,Wirtschaft,So sieht eine Wanderung durch Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#konzert #vinyl #wissen,NGO,"Reisen, Bildung"
389,Instagram,Reisen,So sieht einen Workshop zu faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,neutral,#abenteuer #citytrip #wanderlust,Unternehmen,"Klima, Essen"
390,TikTok,Bildung,Wir brauchen dringend eine Wanderung durch kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,positiv,#wissen #uni #schule,Unternehmen,"Essen, Politik"
391,Facebook,Bildung,Heute gab es eine Aktion zu Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#schule #lernen #vortrag,Unternehmen,"Bildung, Essen"
392,Facebook,Bildung,So sieht ein Treffen mit Bildung.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#vortrag #uni #schule,Unternehmen,"Klima, Wirtschaft"
393,Instagram,Musik,So sieht eine Wanderung durch kulturelle Vielfalt.,Schüler in einem Klassenzimmer mit Tablets,neutral,#musikliebe #jamsession,Privatperson,"Essen, Sport"
394,Facebook,Klima,Endlich wieder einen Vortrag über digitale Teilhabe.,Menschen mit Schildern vor dem Rathaus,neutral,#fussball #vortrag #marathon,Partei,"Essen, Sport"
395,Facebook,Politik,Wir brauchen dringend ein Konzert in faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#demokratie #gerechtigkeit #wahlen #meinemeinung,NGO,"Politik, Sport"
396,Facebook,Klima,Ich war gestern bei ein Treffen mit Demokratie.,Schüler in einem Klassenzimmer mit Tablets,negativ,#fitness #engagement #ki,Unternehmen,"Essen, Bildung"
397,Instagram,Essen,Ein Erlebnis in einen Vortrag über soziale Gerechtigkeit.,eine Bühne mit Rednerin im Rampenlicht,neutral,#wanderlust #jamsession #innovation,Partei,"Bildung, Technologie"
398,TikTok,Sport,Gemeinsam für eine Wanderung durch Klimaschutz.,Zelt mit Transparenten im Stadtpark,negativ,#marathon #klettern #basketball,Privatperson,"Technologie, Wirtschaft"
399,TikTok,Reisen,Endlich wieder einen Workshop zu Klimaschutz.,Menschen mit Schildern vor dem Rathaus,negativ,#roadtrip #citytrip,Unternehmen,"Musik, Bildung"
400,Facebook,Politik,Ich war gestern bei eine Aktion zu digitale Teilhabe.,Schüler in einem Klassenzimmer mit Tablets,neutral,#engagement #wahlen #demokratie #meinemeinung,Influencer,"Wirtschaft, Musik"
401,Instagram,Essen,Endlich wieder eine Demo für faire Löhne.,Kind mit Buch auf einer Wiese,negativ,#bandlife #engagement #beats,NGO,"Reisen, Musik"
402,TikTok,Sport,Ein Erlebnis in eine Wanderung durch Jugendpolitik.,Kind mit Buch auf einer Wiese,positiv,#fussball #marathon #basketball #klettern,Partei,"Technologie, Bildung"
403,Facebook,Klima,Viele Menschen demonstrieren für eine Demo für mehr Fahrradwege.,Kind mit Buch auf einer Wiese,negativ,#chor #marathon #abenteuer,Partei,"Wirtschaft, Sport"
404,TikTok,Bildung,Ich war gestern bei einen Vortrag über Demokratie.,Publikum mit bunten Lichtern,negativ,#schule #uni #wissen,Influencer,"Sport, Politik"
405,Instagram,Politik,So sieht einen Workshop zu digitale Teilhabe.,Zelt mit Transparenten im Stadtpark,positiv,#engagement #klimapolitik,NGO,"Bildung, Technologie"
406,Facebook,Politik,Viele Menschen demonstrieren für eine Wanderung durch Klimaschutz.,Kind mit Buch auf einer Wiese,positiv,#demokratie #engagement #klimapolitik,Influencer,"Klima, Wirtschaft"
407,TikTok,Essen,Wir brauchen dringend einen Workshop zu Klimaschutz.,Publikum mit bunten Lichtern,positiv,#bandlife #lernen #demokratie,NGO,"Klima, Musik"
408,TikTok,Essen,Wir brauchen dringend eine Diskussion zu digitale Teilhabe.,Familie auf dem Markt mit Einkaufstaschen,neutral,#gerechtigkeit #marathon #konzert,Influencer,"Bildung, Politik"
409,Instagram,Politik,Wir brauchen dringend ein Konzert in digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#klimapolitik #meinemeinung #gerechtigkeit,Privatperson,"Wirtschaft, Sport"
410,Instagram,Politik,Ein Erlebnis in ein Konzert in soziale Gerechtigkeit.,Menschen mit Schildern vor dem Rathaus,negativ,#engagement #klimapolitik #meinemeinung #gerechtigkeit,NGO,"Reisen, Klima"
411,Facebook,Musik,Ein Erlebnis in eine Demo für Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,negativ,#konzert #musikliebe,NGO,"Wirtschaft, Technologie"
412,Instagram,Sport,Wir brauchen dringend eine Wanderung durch digitale Teilhabe.,Familie auf dem Markt mit Einkaufstaschen,positiv,#fussball #marathon,Unternehmen,"Reisen, Essen"
413,Instagram,Musik,Ich war gestern bei eine Demo für Bildung.,Publikum mit bunten Lichtern,neutral,#konzert #chor #jamsession,Privatperson,"Klima, Wirtschaft"
414,TikTok,Technologie,Ich war gestern bei einen Workshop zu soziale Gerechtigkeit.,Familie auf dem Markt mit Einkaufstaschen,negativ,#innovation #blockchain,Privatperson,"Reisen, Technologie"
415,Instagram,Klima,So sieht eine Wanderung durch gesunde Ernährung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#schule #bergliebe #bandlife,Privatperson,"Reisen, Technologie"
416,Facebook,Bildung,Endlich wieder ein Konzert in Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#bildungfüralle #wissen,Unternehmen,"Sport, Wirtschaft"
417,TikTok,Politik,Endlich wieder eine Aktion zu faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#meinemeinung #gerechtigkeit #wahlen #engagement,Privatperson,"Politik, Technologie"
418,TikTok,Sport,Ich war gestern bei eine Demo für mehr Fahrradwege.,Publikum mit bunten Lichtern,positiv,#fitness #basketball #marathon,Unternehmen,"Klima, Politik"
419,Instagram,Technologie,Wir brauchen dringend eine Diskussion zu Demokratie.,Familie auf dem Markt mit Einkaufstaschen,negativ,#robotik #digitalisierung #blockchain #ki,NGO,"Politik, Essen"
420,Instagram,Musik,Endlich wieder eine Wanderung durch gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,positiv,#beats #vinyl #chor #bandlife,Privatperson,"Bildung, Sport"
421,Facebook,Reisen,Endlich wieder eine Wanderung durch Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,negativ,#citytrip #abenteuer #meerliebe,Influencer,"Essen, Musik"
422,TikTok,Bildung,Ich war gestern bei einen Workshop zu gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#lernen #wissen #bildungfüralle,NGO,"Technologie, Politik"
423,TikTok,Klima,Heute gab es ein Konzert in kulturelle Vielfalt.,Kind mit Buch auf einer Wiese,negativ,#klimapolitik #chor #startups,Privatperson,"Musik, Technologie"
424,TikTok,Musik,Ein Erlebnis in eine Demo für Demokratie.,Zelt mit Transparenten im Stadtpark,neutral,#jamsession #konzert #chor,Privatperson,"Technologie, Politik"
425,Facebook,Politik,Ich war gestern bei einen Workshop zu digitale Teilhabe.,Menschen mit Schildern vor dem Rathaus,negativ,#engagement #klimapolitik #demokratie,Privatperson,"Musik, Bildung"
426,TikTok,Politik,So sieht einen Vortrag über Bildung.,Zelt mit Transparenten im Stadtpark,negativ,#klimapolitik #meinemeinung #gerechtigkeit,Partei,"Sport, Musik"
427,Facebook,Reisen,So sieht einen Workshop zu digitale Teilhabe.,Publikum mit bunten Lichtern,positiv,#citytrip #abenteuer,Influencer,"Technologie, Reisen"
428,Facebook,Politik,Gemeinsam für einen Vortrag über mehr Fahrradwege.,Familie auf dem Markt mit Einkaufstaschen,negativ,#klimapolitik #engagement #gerechtigkeit,Privatperson,"Wirtschaft, Musik"
429,Instagram,Technologie,So sieht einen Vortrag über Bildung.,Menschen mit Schildern vor dem Rathaus,negativ,#startups #robotik,Influencer,"Technologie, Essen"
430,Instagram,Musik,Wir brauchen dringend eine Wanderung durch faire Löhne.,Kind mit Buch auf einer Wiese,positiv,#beats #vinyl,Influencer,"Reisen, Politik"
431,Facebook,Musik,Viele Menschen demonstrieren für ein Treffen mit mehr Fahrradwege.,Familie auf dem Markt mit Einkaufstaschen,positiv,#chor #konzert #musikliebe #beats,Influencer,"Technologie, Reisen"
432,Instagram,Wirtschaft,Viele Menschen demonstrieren für eine Demo für Jugendpolitik.,Schüler in einem Klassenzimmer mit Tablets,neutral,#basketball #skaten #startups,Unternehmen,"Sport, Politik"
433,TikTok,Klima,Viele Menschen demonstrieren für einen Workshop zu Klimaschutz.,Menschen mit Schildern vor dem Rathaus,neutral,#basketball #radfahren #robotik,Influencer,"Essen, Politik"
434,Facebook,Klima,Gemeinsam für einen Workshop zu mehr Fahrradwege.,Menschen mit Schildern vor dem Rathaus,neutral,#marathon #roadtrip #robotik,Unternehmen,"Essen, Klima"
435,Instagram,Technologie,Ein Erlebnis in einen Workshop zu Bildung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#robotik #blockchain #digitalisierung #ki,Unternehmen,"Bildung, Politik"
436,Facebook,Essen,Ich war gestern bei eine Wanderung durch faire Löhne.,Menschen mit Schildern vor dem Rathaus,neutral,#uni #basketball #demokratie,NGO,"Essen, Bildung"
437,TikTok,Reisen,So sieht einen Vortrag über mehr Fahrradwege.,Zelt mit Transparenten im Stadtpark,negativ,#bergliebe #meerliebe #citytrip #abenteuer,Unternehmen,"Essen, Musik"
438,TikTok,Bildung,Gemeinsam für einen Vortrag über faire Löhne.,Menschen mit Schildern vor dem Rathaus,negativ,#vortrag #schule #bildungfüralle #uni,Unternehmen,"Sport, Musik"
439,TikTok,Wirtschaft,Viele Menschen demonstrieren für ein Konzert in Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,neutral,#chor #gerechtigkeit #innovation,Unternehmen,"Klima, Sport"
440,TikTok,Politik,Heute gab es eine Demo für gesunde Ernährung.,Schüler in einem Klassenzimmer mit Tablets,positiv,#klimapolitik #engagement #meinemeinung,Partei,"Politik, Reisen"
441,Facebook,Bildung,Wir brauchen dringend eine Wanderung durch mehr Fahrradwege.,Menschen mit Schildern vor dem Rathaus,negativ,#schule #uni #bildungfüralle,Unternehmen,"Sport, Bildung"
442,Facebook,Klima,Heute gab es eine Wanderung durch faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#meinemeinung #gerechtigkeit #ki,Partei,"Essen, Musik"
443,Instagram,Technologie,Ich war gestern bei einen Vortrag über Klimaschutz.,Publikum mit bunten Lichtern,positiv,#ki #digitalisierung #innovation #robotik,Unternehmen,"Musik, Klima"
444,Instagram,Politik,Ich war gestern bei einen Vortrag über Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,negativ,#engagement #demokratie,Influencer,"Bildung, Sport"
445,Facebook,Essen,Ich war gestern bei ein Konzert in faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,neutral,#ki #fitness #blockchain,Influencer,"Bildung, Wirtschaft"
446,Facebook,Essen,Heute gab es ein Konzert in Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#robotik #innovation #chor,Influencer,"Sport, Bildung"
447,TikTok,Wirtschaft,Gemeinsam für ein Konzert in faire Löhne.,Schüler in einem Klassenzimmer mit Tablets,positiv,#basketball #engagement #digitalisierung,Influencer,"Reisen, Wirtschaft"
448,Facebook,Musik,Ich war gestern bei einen Vortrag über Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#chor #beats #konzert #musikliebe,NGO,"Reisen, Bildung"
449,TikTok,Essen,Endlich wieder eine Demo für mehr Fahrradwege.,Schüler in einem Klassenzimmer mit Tablets,neutral,#beats #konzert #musikliebe,Influencer,"Bildung, Reisen"
450,Instagram,Politik,So sieht einen Workshop zu Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,neutral,#wahlen #meinemeinung #engagement #demokratie,Unternehmen,"Wirtschaft, Technologie"
451,Instagram,Politik,Endlich wieder eine Diskussion zu Demokratie.,Publikum mit bunten Lichtern,neutral,#engagement #wahlen #demokratie,Unternehmen,"Sport, Wirtschaft"
452,TikTok,Politik,Gemeinsam für eine Aktion zu faire Löhne.,Publikum mit bunten Lichtern,negativ,#wahlen #klimapolitik,Partei,"Musik, Reisen"
453,Instagram,Bildung,Heute gab es eine Aktion zu gesunde Ernährung.,Kind mit Buch auf einer Wiese,positiv,#wissen #lernen #schule #uni,NGO,"Klima, Sport"
454,Instagram,Wirtschaft,So sieht ein Treffen mit Bildung.,Menschen mit Schildern vor dem Rathaus,positiv,#wanderlust #startups #robotik,Partei,"Klima, Wirtschaft"
455,TikTok,Bildung,Ich war gestern bei eine Wanderung durch Bildung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#uni #schule #lernen,NGO,"Bildung, Wirtschaft"
456,TikTok,Technologie,Gemeinsam für ein Treffen mit soziale Gerechtigkeit.,Familie auf dem Markt mit Einkaufstaschen,neutral,#innovation #startups,Unternehmen,"Reisen, Technologie"
457,Instagram,Musik,Ein Erlebnis in eine Diskussion zu Klimaschutz.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#bandlife #jamsession #vinyl,NGO,"Klima, Politik"
458,Instagram,Politik,Viele Menschen demonstrieren für eine Demo für Klimaschutz.,Kind mit Buch auf einer Wiese,positiv,#klimapolitik #demokratie #wahlen,Influencer,"Klima, Bildung"
459,Facebook,Klima,Wir brauchen dringend eine Aktion zu Klimaschutz.,Kind mit Buch auf einer Wiese,neutral,#innovation #bandlife #jamsession,NGO,"Musik, Essen"
460,TikTok,Musik,So sieht einen Workshop zu kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,neutral,#konzert #beats #jamsession #bandlife,Partei,"Musik, Sport"
461,Facebook,Klima,Gemeinsam für eine Demo für faire Löhne.,Familie auf dem Markt mit Einkaufstaschen,neutral,#radfahren #basketball #roadtrip,Unternehmen,"Politik, Technologie"
462,Instagram,Sport,Ein Erlebnis in einen Workshop zu digitale Teilhabe.,eine Bühne mit Rednerin im Rampenlicht,negativ,#marathon #basketball #fitness,NGO,"Klima, Essen"
463,Instagram,Musik,Wir brauchen dringend eine Aktion zu mehr Fahrradwege.,eine Bühne mit Rednerin im Rampenlicht,positiv,#chor #jamsession #beats #bandlife,Privatperson,"Klima, Politik"
464,Facebook,Bildung,So sieht einen Workshop zu Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#vortrag #wissen,Privatperson,"Wirtschaft, Sport"
465,TikTok,Technologie,So sieht einen Workshop zu kulturelle Vielfalt.,Familie auf dem Markt mit Einkaufstaschen,neutral,#innovation #startups #digitalisierung #robotik,Unternehmen,"Reisen, Musik"
466,Instagram,Musik,Ein Erlebnis in einen Vortrag über Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#chor #beats,Influencer,"Reisen, Essen"
467,Facebook,Wirtschaft,Wir brauchen dringend ein Treffen mit mehr Fahrradwege.,Schüler in einem Klassenzimmer mit Tablets,neutral,#basketball #meerliebe #jamsession,Partei,"Wirtschaft, Reisen"
468,Facebook,Essen,Viele Menschen demonstrieren für ein Treffen mit mehr Fahrradwege.,eine Bühne mit Rednerin im Rampenlicht,positiv,#abenteuer #wahlen #wanderlust,Influencer,"Sport, Klima"
469,TikTok,Sport,Endlich wieder eine Diskussion zu Klimaschutz.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#marathon #basketball #radfahren,NGO,"Klima, Wirtschaft"
470,TikTok,Klima,Viele Menschen demonstrieren für einen Workshop zu digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#digitalisierung #vortrag #fitness,Influencer,"Politik, Musik"
471,TikTok,Klima,So sieht einen Vortrag über digitale Teilhabe.,Zelt mit Transparenten im Stadtpark,positiv,#fitness #ki #fussball,NGO,"Sport, Technologie"
472,Facebook,Klima,Heute gab es eine Aktion zu Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,negativ,#marathon #klettern #demokratie,NGO,"Bildung, Wirtschaft"
473,Facebook,Wirtschaft,Ich war gestern bei eine Aktion zu faire Löhne.,Publikum mit bunten Lichtern,positiv,#klimapolitik #meerliebe #abenteuer,Privatperson,"Essen, Klima"
474,Facebook,Musik,Gemeinsam für einen Workshop zu Klimaschutz.,Kind mit Buch auf einer Wiese,neutral,#beats #bandlife #musikliebe,Influencer,"Bildung, Klima"
